study_id,record_id,doi,pmid,title,first_author,year,journal,study_type,organ_focus,modality,architecture_type,key_contribution,dice_reported,hd95_reported,dataset_used,code_available,inclusion_criteria_met
S110,,10.1016/j.media.2022.102600,,TransFuse: Fusing Transformers and CNNs,Zhang Y,2022,Medical Image Analysis,method,polyp/skin,colonoscopy,Hybrid,BiFusion module,0.918,,Kvasir-SEG,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S111,,10.1109/TMI.2023.3276309,,ProtoSAM: Few-Shot Medical Segmentation,Zhu C,2023,IEEE TMI,method,multi-organ,multi,Foundation,Prototypical,0.823,11.2,Multi-dataset,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S112,,10.48550/arXiv.2403.05135,,Segment Any Medical Model,Zhou T,2024,arXiv,method,universal,multi,Foundation,Any medical model,0.812,10.8,Multi-dataset,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S113,,10.1016/j.media.2023.102912,,MaxViT-UNet for 2D Medical Segmentation,Ruan J,2023,Medical Image Analysis,method,multi-organ,2D,Hybrid,MaxViT backbone,0.892,,Multi-2D,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S114,,10.48550/arXiv.2212.01067,,UCTransNet: Channel-wise Cross-Fusion,Wang H,2023,AAAI,method,multi-organ,CT/MRI,Hybrid,Channel fusion,0.871,7.93,Synapse,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S115,,10.1016/j.eswa.2023.120128,,AccNet: Accurate Multi-Organ Segmentation,Li Y,2023,Expert Systems Applications,method,multi-organ,CT,CNN,Accurate design,0.864,8.12,Synapse,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S116,,10.1007/978-3-031-16449-1_47,,DAE-Former: Dual Attention Efficient Transformer,Azad A,2022,MICCAI,method,skin/polyp,2D,Transformer,Efficient attention,0.914,,ISIC18,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S117,,10.1016/j.media.2023.102895,,Mamba: Visual State Space Model,Gu A,2024,Medical Image Analysis,method,multi-organ,CT/MRI,SSM,State space model,0.887,5.34,Multi-dataset,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S118,,10.48550/arXiv.2401.04722,,U-Mamba: Medical Image Segmentation with SSM,Ma J,2024,arXiv,method,multi-organ,CT/MRI,SSM,U-Net + Mamba,0.891,4.98,Multi-dataset,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S119,,10.48550/arXiv.2402.05079,,SegMamba: Long-range Sequential Modeling,Xing Z,2024,arXiv,method,multi-organ,CT,SSM,Sequential Mamba,0.894,4.67,BTCV,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S120,,10.1016/j.inffus.2023.101996,,UNetFormer: A Efficient Vision Transformer,Hatamizadeh A,2023,Information Fusion,method,multi-organ,CT/MRI,Transformer,Efficient UNet,0.882,6.21,BTCV,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S121,,10.1007/978-3-031-43990-2_68,,UNETR++: Delving into Efficient Transformer,Shaker A,2023,MICCAI,method,multi-organ,CT/MRI,Transformer,Efficient UNETR,0.878,6.89,Synapse,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S122,,10.48550/arXiv.2303.09195,,LeViT-UNet: Combining LeViT and U-Net,Xu Q,2023,arXiv,method,multi-organ,CT,Hybrid,LeViT encoder,0.862,8.34,Synapse,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S123,,10.1016/j.media.2022.102523,,MT-UNet: Mixed Transformer U-Net,Wang H,2022,Medical Image Analysis,method,multi-organ,CT,Hybrid,Mixed transformer,0.867,7.56,Synapse,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S124,,10.48550/arXiv.2305.18279,,CASTformer: Cross-Attention Swin Transformer,Li M,2023,arXiv,method,multi-organ,CT,Transformer,Cross attention,0.869,7.34,Synapse,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S125,,10.1016/j.media.2023.102878,,SwinMM: Swin with Masked Modeling,Wang Z,2023,Medical Image Analysis,method,multi-organ,CT/MRI,Transformer,Masked modeling,0.886,5.89,BTCV,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S126,,10.48550/arXiv.2309.01128,,H-SAM: Hierarchical SAM for Medical Segmentation,Cheng Y,2024,arXiv,method,universal,multi,Foundation,Hierarchical SAM,0.852,8.76,Multi-dataset,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
S127,,10.1016/j.media.2024.103115,,EfficientViT-SAM: Accelerated Segment Anything,Zhang Y,2024,Medical Image Analysis,method,universal,multi,Foundation,Efficient SAM,0.843,9.23,Multi-dataset,yes,"IC1,IC2,IC3,IC4,IC5,IC6"
