id,database,search_date,title,authors,year,journal_conference,doi,abstract_snippet
R0062,PubMed,2026-01-20,A phase-aware Cross-Scale U-MAMba with uncertainty-aware segmentation and Switch Atrous Bifovea EfficientNetB7 classification of kidney lesion subtype.,Rmr SS; Mb S; R D; M T; P V,2025,Lasers in medical science,10.1007/s10103-025-04644-z,"Kidney lesion subtype identification is essential for precise diagnosis and personalized treatment planning. However, achieving reliable classification remains challenging due to factors such as inter-patient anatomical variability, incomplete multi-phase CT acquisitions, and ill-defined or overlapp..."
R0063,PubMed,2026-01-20,DCM-Net: dual-encoder CNN-Mamba network with cross-branch fusion for robust medical image segmentation.,Atabansi CC; Wang S; Li H; Nie J; Xiang L et al.,2025,BMC medical imaging,10.1186/s12880-025-01942-4,"Medical image segmentation is a critical task for the early detection and diagnosis of various conditions, such as skin cancer, polyps, thyroid nodules, and pancreatic tumors. Recently, deep learning architectures have achieved significant success in this field. However, they face a critical trade-o..."
R0064,PubMed,2026-01-20,Assessing Quantitative Performance and Expert Review of Multiple Deep Learning-Based Frameworks for Computed Tomography-based Abdominal Organ Auto-Segmentation.,Ram US; Pogue JA; Soike M; Pfister NT; Jacob R et al.,2025,Intelligent oncology,10.1016/j.intonc.2025.03.003,"Segmentation of abdominal organs in computed tomography (CT) images within clinical oncological workflows is crucial for ensuring effective treatment planning and follow-up. However, manually generated segmentations are time-consuming and labor-intensive in addition to being subject to inter-observe..."
R0065,PubMed,2026-01-20,Exploring learning transferability in deep segmentation of colorectal cancer liver metastases.,Abbas M; Badic B; Andrade-Miranda G; Bourbonne V; Jaouen V et al.,2025,Computers in biology and medicine,10.1016/j.compbiomed.2025.111076,Ensuring the seamless transfer of knowledge and models across various datasets and clinical contexts is of paramount importance in medical image segmentation. This is especially true for liver lesion segmentation which plays a key role in pre-operative planning and treatment follow-up. Despite the p...
R0066,PubMed,2026-01-20,MPVT+: a noise-robust training framework for automatic liver tumor segmentation with noisy labels.,Cheng X; Tian H; Zhou J; Xie T; Gong H et al.,2025,Frontiers in medicine,10.3389/fmed.2025.1653865,"Liver cancer is among the leading causes of cancer-related deaths worldwide. Accurate delineation of hepatic tumors is crucial for diagnosis, prognosis, and treatment planning, yet manual annotation is labor-intensive and subject to variability. Deep neural networks (DNNs) have shown promise in auto..."
R0067,PubMed,2026-01-20,Comparison of organ volumes and standardized uptake values in [18F]FDG-PET/CT images using MOOSE and TotalSegmentator to segment CT images.,Auriac J; Nioche C; Hovhannisyan-Baghdasarian N; Loisel C; Seban RD et al.,2025,Medical physics,10.1002/mp.70025,Manual segmentation of organs from PET/CT images is a time-consuming and highly operator-dependent task. Open software solutions are now available to automatically segment all major anatomical structures in CT images. We compared the volumes and standardized uptake values (SUV) extracted from [18F]F...
R0068,PubMed,2026-01-20,Enhancing auto-contouring with large language model in high-dose rate brachytherapy for cervical cancers.,Wang J; Zhang J; Yang K; Ghavidel BB; Khajetash B et al.,2025,Medical physics,10.1002/mp.70034,"High-dose-rate brachytherapy (HDR-BT) is a cornerstone of cervical cancer (CC) treatment, requiring the precise delineation of high-risk clinical target volumes (HR-CTV) and organs at risk (OARs) for effective dose delivery and toxicity reduction. However, the time-sensitive nature of HDR-BT plannin..."
R0069,PubMed,2026-01-20,Deep self-cleansing for medical image segmentation with noisy labels.,Dong J; Zhang Y; Wang Q; Tong R; Ying S et al.,2025,Medical physics,10.1002/mp.70007,"Medical image segmentation plays a pivotal role in medical imaging, significantly contributing to disease diagnosis and surgical planning. Traditional segmentation methods predominantly rely on supervised deep learning, where the accuracy of manually delineated labels is crucial for model performanc..."
R0070,PubMed,2026-01-20,Dose Reduction in 4-Dimensional Computed Tomography Imaging: Breathing Signal-Guided Deep Learning-Driven Data Acquisition.,Wimmert L; Gauer T; Dickmann J; Hofmann C; Sentker T et al.,2026,"International journal of radiation oncology, biology, physics",10.1016/j.ijrobp.2025.08.047,"Four-dimensional computed tomography (4D CT) imaging is essential for radiation therapy planning in thoracic tumors. However, current protocols tend to acquire more projection data than is strictly necessary for reconstructing the 4D CT, potentially leading to unnecessary radiation exposure and a mi..."
R0071,PubMed,2026-01-20,A Study of Anatomical Priors for Deep Learning-Based Segmentation of Pheochromocytoma in Abdominal CT.,Toma TT; Mathai TS; Santra B; Mukherjee P; Liu J et al.,2025,ArXiv,PMID:40969484,"Accurate segmentation of pheochromocytoma (PCC) in abdominal CT scans is essential for tumor burden estimation, prognosis, and treatment planning. It may also help infer genetic clusters, reducing reliance on expensive testing. This study systematically evaluates anatomical priors to identify config..."
R0072,PubMed,2026-01-20,A full-scale attention-augmented CNN-transformer model for segmentation of oropharyngeal mucosa organs-at-risk in radiotherapy.,He L; Sun J; Lu S; Li J; Wang X et al.,2025,Physical and engineering sciences in medicine,10.1007/s13246-025-01614-1,"Radiation-induced oropharyngeal mucositis (ROM) is a common and severe side effect of radiotherapy in nasopharyngeal cancer patients, leading to significant clinical complications such as malnutrition, infections, and treatment interruptions. Accurate delineation of the oropharyngeal mucosa (OPM) as..."
R0073,PubMed,2026-01-20,Artificial Intelligence-based Liver Volume Measurement Using Preoperative and Postoperative CT Images.,Kim KG; Kim D; Lee CH; Yeom JC; Kim YJ et al.,2025,Current medical imaging,10.2174/0115734056394257250818060804,"Accurate liver volumetry is crucial for hepatectomy. In this study, we developed and validated a deep learning system for automated liver volumetry in patients undergoing hepatectomy, both preoperatively and at 7 days and 3 months postoperatively. A 3D U-Net model was trained on CT images from three..."
R0074,PubMed,2026-01-20,"Lung lobe segmentation: performance of open-source MOOSE, TotalSegmentator, and LungMask models compared to a local in-house model.",Amini E; Klein R,2025,European radiology experimental,10.1186/s41747-025-00623-9,"Lung lobe segmentation is required to assess lobar function with nuclear imaging before surgical interventions. We evaluated the performance of open-source deep learning-based lung lobe segmentation tools, compared to a similar nnU-Net model trained on a smaller but more representative clinical data..."
R0075,PubMed,2026-01-20,Automated Kidney Tumor Segmentation in CT Images Using Deep Learning: A Multi-Stage Approach.,Kan HC; Fan GM; Wei MH; Lin PH; Shao IH et al.,2025,Academic radiology,10.1016/j.acra.2025.08.020,"Computed tomography (CT) remains the primary modality for assessing renal tumors; however, tumor identification and segmentation rely heavily on manual interpretation by clinicians, which is time-consuming and subject to inter-observer variability. The heterogeneity of tumor appearance and indistinc..."
R0076,PubMed,2026-01-20,Dual-perspective decoupling network for kidney tumor segmentation on CT images.,Gan X; Zhu S; Zhang Y; Wang Z; Ye X et al.,2026,Neural networks : the official journal of the International Neural Network Society,10.1016/j.neunet.2025.108042,"The key challenges in kidney tumor segmentation include unpredictable location, high similarity among objects, and variability in boundaries. Existing approaches mostly handle these challenges from an object-agnostic perspective or a single decoupling perspective, which limits their ability to addre..."
R0077,PubMed,2026-01-20,"MetaPredictomics: A Comprehensive Approach to Predict Postsurgical Non-Small Cell Lung Cancer Recurrence Using Clinicopathologic, Radiomics, and Organomics Data.",Amini M; Hajianfar G; Salimi Y; Mansouri Z; Zaidi H,2025,Clinical nuclear medicine,10.1097/RLU.0000000000006086,"Non-small cell lung cancer (NSCLC) is a complex disease characterized by diverse clinical, genetic, and histopathologic traits, necessitating personalized treatment approaches. While numerous biomarkers have been introduced for NSCLC prognostication, no single source of information can provide a com..."
R0078,PubMed,2026-01-20,Privacy-preserving federated transfer learning for enhanced liver lesion segmentation in PET-CT imaging.,Kumar R; Zeng S; Kumar J; Zakria ; Mao X,2025,Artificial intelligence in medicine,10.1016/j.artmed.2025.103245,"Positron Emission Tomography-Computed Tomography (PET-CT) evolution is critical for liver lesion diagnosis. However, data scarcity, privacy concerns, and cross-institutional imaging heterogeneity impede accurate deep learning model deployment. We propose a Federated Transfer Learning (FTL) framework..."
R0079,PubMed,2026-01-20,Applications and Performance of Artificial Intelligence in Spinal Metastasis Imaging: A Systematic Review.,Sanker V; Gowda P; Thaller A; Li Z; Heesen P et al.,2025,Journal of clinical medicine,10.3390/jcm14165877,"<b>Background:</b> Spinal metastasis is the third most common site for metastatic localization, following the lung and liver. Manual detection through imaging modalities such as CT, MRI, PET, and bone scintigraphy can be costly and inefficient. Preliminary artificial intelligence (AI) techniques and..."
R0080,PubMed,2026-01-20,Efficient 3D Biomedical Image Segmentation by Parallelly Multiscale Transformer-CNN Aggregation Network.,Liu W; He Y; Man T; Zhu F; Chen Q et al.,2025,Chemical & biomedical imaging,10.1021/cbmi.4c00102,"Accurate and automated segmentation of 3D biomedical images is a sophisticated imperative in clinical diagnosis, imaging-guided surgery, and prognosis judgment. Although the burgeoning of deep learning technologies has fostered smart segmentators, the successive and simultaneous garnering global and..."
R0081,PubMed,2026-01-20,Comparison Between the Human-Sourced Ellipsoid Method and Kidney Volumetry Using Artificial Intelligence in Polycystic Kidney Disease.,Yang J; Lee YR; Hyun YY; Kim HJ; Shin TY et al.,2025,Journal of personalized medicine,10.3390/jpm15080392,"<b>Background:</b> The Mayo imaging classification (MIC) for polycystic kidney disease (PKD) is a crucial basis for clinical treatment decisions; however, the volumetric assessment for its evaluation remains tedious and inaccurate. While the ellipsoid method for measuring the total kidney volume (TK..."
R0082,PubMed,2026-01-20,"ConvTNet fusion: A robust transformer-CNN framework for multi-class classification, multimodal feature fusion, and tissue heterogeneity handling.",Mahmood T; Saba T; Rehman A; Alamri FS,2025,Computerized medical imaging and graphics : the official journal of the Computerized Medical Imaging Society,10.1016/j.compmedimag.2025.102621,"Medical imaging is crucial for clinical practice, providing insight into organ structure and function. Advancements in imaging technologies enable automated image segmentation, which is essential for accurate diagnosis and treatment planning. However, challenges like class imbalance, tissue boundary..."
R0083,PubMed,2026-01-20,Automated AI-based segmentation of canine hepatic focal lesions from CT studies.,Burti S; Jurgas A; Puccinelli C; Cherubini GB; Citi S et al.,2025,Frontiers in veterinary science,10.3389/fvets.2025.1638142,"Hepatic masses are a common occurrence in veterinary medicine, with treatment options largely dependent on the nature and location of the mass. The gold standard treatment involves surgical removal of the mass, often followed by chemotherapy if necessary. However, in cases where mass removal is not ..."
R0084,PubMed,2026-01-20,Interpreting convolutional neural network explainability for head-and-neck cancer radiotherapy organ-at-risk segmentation.,Strijbis VIJ; Gurney-Champion OJ; Grama DI; Slotman BJ; Verbakel WFAR,2025,Computers in biology and medicine,10.1016/j.compbiomed.2025.110925,"Convolutional neural networks (CNNs) have emerged to reduce clinical resources and standardize auto-contouring of organs-at-risk (OARs). Although CNNs perform adequately for most patients, understanding when the CNN might fail is critical for effective and safe clinical deployment. However, the limi..."
R0085,PubMed,2026-01-20,Large-scale convolutional neural network for clinical target and multi-organ segmentation in gynecologic brachytherapy via multi-stage learning.,Hu M; Gao Y; Li Y; Qiu RL; Chang CW et al.,2025,Medical physics,10.1002/mp.18067,"Accurate segmentation of high-risk clinical target volume (HRCTV) and organs-at-risk (OARs) is crucial for optimizing gynecologic brachytherapy treatment planning. However, performing this segmentation on Computed Tomography (CT) images remains particularly challenging due to anatomical variability,..."
R0086,PubMed,2026-01-20,Comprehensive analysis of [<sup>18</sup>F]MFBG biodistribution normal patterns and variability in pediatric patients with neuroblastoma.,Wang P; Chen X; Yan X; Yan J; Yang S et al.,2025,European journal of nuclear medicine and molecular imaging,10.1007/s00259-025-07490-x,"[<sup>18</sup>F]-meta-fluorobenzylguanidine ([<sup>18</sup>F]MFBG) PET/CT is a promising imaging modality for neural crest-derived tumors, particularly neuroblastoma. Accurate interpretation necessitates an understanding of normal biodistribution and variations in physiological uptake. This study ai..."
R0087,PubMed,2026-01-20,A novel unified Inception-U-Net hybrid gravitational optimization model (UIGO) incorporating automated medical image segmentation and feature selection for liver tumor detection.,Banerjee T; Singh DP; Kour P; Swain D; Mahajan S et al.,2025,Scientific reports,10.1038/s41598-025-14333-0,"Segmenting liver tumors in medical imaging is pivotal for precise diagnosis, treatment, and evaluating therapy outcomes. Even with modern imaging technologies, fully automated segmentation systems have not overcome the challenge posed by the diversity in the shape, size, and texture of liver tumors...."
R0088,PubMed,2026-01-20,Deep Learning-Based Instance-Level Segmentation of Kidney and Liver Cysts in CT Images of Patients Affected by Polycystic Kidney Disease.,Gregory AV; Khalifa M; Im J; Ramanathan S; Elbarougy DE et al.,2025,Kidney360,10.34067/KID.0000000924,"Total kidney and liver volumes are key image-based biomarkers to predict the severity of kidney and liver phenotype in autosomal dominant polycystic kidney disease (ADPKD). However, MRI-based advanced biomarkers like total cyst number (TCN) and cyst parenchyma surface area (CPSA) have been shown to ..."
R0089,PubMed,2026-01-20,Radiomics Beyond Radiology: Literature Review on Prediction of Future Liver Remnant Volume and Function Before Hepatic Surgery.,Urraro F; Pacella G; Giordano N; Spiezia S; Balestrucci G et al.,2025,Journal of clinical medicine,10.3390/jcm14155326,"<b>Background:</b> Post-hepatectomy liver failure (PHLF) is the most worrisome complication after a major hepatectomy and is the leading cause of postoperative mortality. The most important predictor of PHLF is the future liver remnant (FLR), the volume of the liver that will remain after the hepate..."
R0090,PubMed,2026-01-20,Kidney Volume after Endovascular Exclusion of Abdominal Aortic Aneurysms by EVAR and FEVAR.,Saudreau B; Vannier C; Ben Turkia J; Van Weydevelt E; Pascot R et al.,2026,Annals of vascular surgery,10.1016/j.avsg.2025.08.001,Decreased kidney volume is a sign of renal aging and/or decreased vascularization. The aim of this study was to determine whether renal volume changes 24 months after exclusion of an abdominal aortic aneurysm (AAA) and to compare fenestrated (FEVAR) and infrarenal (EVAR) endovascular repair. Retrosp...
R0091,PubMed,2026-01-20,Liver MRI proton density fat fraction inference from contrast enhanced CT images using deep learning: A proof-of-concept study.,Nasir M; Xu Y; Hasenstab K; Yechoor A; Dodhia R et al.,2025,PloS one,10.1371/journal.pone.0328867,"Metabolic dysfunction-associated steatotic liver disease (MASLD) is the most common cause of chronic liver disease worldwide, affecting over 30% of the global general population. Its progressive nature and association with other chronic diseases makes early diagnosis important. MRI Proton Density Fa..."
R0092,PubMed,2026-01-20,Deep Learning-Based Cascade 3D Kidney Segmentation Method.,Hao Z; Chapman BE,2025,Studies in health technology and informatics,10.3233/SHTI250892,Renal tumors require early diagnosis and precise localization for effective treatment. This study aims to automate renal tumor analysis in abdominal CT images using a cascade 3D U-Net architecture for semantic kidney segmentation. To address challenges like edge detection and small object segmentati...
R0093,PubMed,2026-01-20,Segmenting Whole-Body MRI and CT for Multiorgan Anatomic Structure Delineation.,Häntze H; Xu L; Mertens CJ; Dorfner FJ; Donle L et al.,2025,Radiology. Artificial intelligence,10.1148/ryai.240777,"Purpose To develop and validate MRSegmentator, a retrospective cross-modality deep learning model for multiorgan segmentation of MRI scans. Materials and Methods This retrospective study trained MRSegmentator on 1200 manually annotated UK Biobank Dixon MRI sequences (50 participants), 221 in-house a..."
R0094,PubMed,2026-01-20,ICT-Net: An Integrated Convolution and Transformer-Based Network for Complex Liver and Liver Tumor Region Segmentation.,Clinton Atabansi C; Li H; Wang S; Nie J; Liu H et al.,2025,IEEE journal of translational engineering in health and medicine,10.1109/JTEHM.2025.3586470,"Automatic segmentation of liver regions as well as liver lesions such as hepatocellular carcinoma (HCC) from computed tomography (CT) images is critical for accurate diagnosis and therapy planning. With the advent of deep learning techniques such as transformers, computer-aided diagnostic tools (CAD..."
R0095,PubMed,2026-01-20,RIS-UNet: A Multi-Level Hierarchical Framework for Liver Tumor Segmentation in CT Images.,Wan Y; Zhang L; Wang M,2025,"Entropy (Basel, Switzerland)",10.3390/e27070735,"The deep learning-based analysis of liver CT images is expected to provide assistance for clinicians in the diagnostic decision-making process. However, the accuracy of existing methods still falls short of clinical requirements and needs to be further improved. Therefore, in this work, we propose a..."
R0096,PubMed,2026-01-20,From promise to practice: a scoping review of AI applications in abdominal radiology.,Fotis A; Lalwani N; Gupta P; Yee J,2025,Abdominal radiology (New York),10.1007/s00261-025-05144-y,"AI is rapidly transforming abdominal radiology. This scoping review mapped current applications across segmentation, detection, classification, prediction, and workflow optimization based on 432 studies published between 2019 and 2024. Most studies focused on CT imaging, with fewer involving MRI, ul..."
R0097,PubMed,2026-01-20,CT-free kidney single-photon emission computed tomography for glomerular filtration rate.,Kwon K; Oh D; Kim JH; Yoo J; Lee WW,2025,Scientific reports,10.1038/s41598-025-12595-2,"This study explores an artificial intelligence-based approach to perform CT-free quantitative SPECT for kidney imaging using Tc-99 m DTPA, aiming to estimate glomerular filtration rate (GFR) without relying on CT. A total of 1000 SPECT/CT scans were used to train and test a deep-learning model that ..."
R0098,PubMed,2026-01-20,AI-driven framework for automated detection of kidney stones in CT images: integration of deep learning architectures and transformers.,Alshenaifi R; Alqahtani Y; Mohamed Aslam S; Umapathy S,2025,Biomedical physics & engineering express,10.1088/2057-1976/adf3ba,"<i><b>Purpose</b></i>. Kidney stones, a prevalent urological condition, associated with acute pain requires prompt and precise diagnosis for optimal therapeutic intervention. While computed tomography (CT) imaging remains the definitive diagnostic modality, manual interpretation of these images is a..."
R0099,PubMed,2026-01-20,Automated Quantitative Evaluation of Age-Related Thymic Involution on Plain Chest CT.,Okamura YT; Endo K; Toriihara A; Fukuda I; Isogai J et al.,2025,Annals of biomedical engineering,10.1007/s10439-025-03805-z,"The thymus is an important immune organ involved in T-cell generation. Age-related involution of the thymus has been linked to various age-related pathologies in recent studies. However, there has been no method proposed to quantify age-related thymic involution based on a clinical image. The purpos..."
R0100,PubMed,2026-01-20,A multi-stage training and deep supervision based segmentation approach for 3D abdominal multi-organ segmentation.,Wu P; An P; Zhao Z; Guo R; Ma X et al.,2025,Journal of X-ray science and technology,10.1177/08953996251355806,"Accurate X-ray Computed tomography (CT) image segmentation of the abdominal organs is fundamental for diagnosing abdominal diseases, planning cancer treatment, and formulating radiotherapy strategies. However, the existing deep learning based models for three-dimensional (3D) CT image abdominal mult..."
R0101,PubMed,2026-01-20,Fully Automatic Artificial Intelligence Liver Anatomy Segmentation in the Management of Colorectal Liver Metastases.,Chierici A; Guzzi L; Goffart S; Kamoun N; Gargiulo M et al.,2025,Cureus,10.7759/cureus.86072,"Artificial intelligence is gaining increasing interest in medical image segmentation, including liver cancer. However, the literature lacks model implementation in the setting of colorectal liver metastases for treatment planning. We collected the portal phase abdominal CT scan images from the Nice ..."
R0102,PubMed,2026-01-20,<sup>18</sup>F-FDG PET-based liver segmentation using deep-learning.,Kaneko Y; Miwa K; Yamao T; Miyaji N; Nishii R et al.,2025,Physical and engineering sciences in medicine,10.1007/s13246-025-01595-1,"Organ segmentation using <sup>18</sup>F-FDG PET images alone has not been extensively explored. Segmentation based methods based on deep learning (DL) have traditionally relied on CT or MRI images, which are vulnerable to alignment issues and artifacts. This study aimed to develop a DL approach for ..."
R0103,PubMed,2026-01-20,Automated multiclass segmentation of liver vessel structures in CT images using deep learning approaches: a liver surgery pre-planning tool.,Sarkar S; Rahmani M; Farnia P; Ahmadian A; Mozayani N,2025,Physical and engineering sciences in medicine,10.1007/s13246-025-01581-7,"Accurate liver vessel segmentation is essential for effective liver surgery pre-planning, and reducing surgical risks since it enables the precise localization and extensive assessment of complex vessel structures. Manual liver vessel segmentation is a time-intensive process reliant on operator expe..."
R0104,PubMed,2026-01-20,FF Swin-Unet: a strategy for automated segmentation and severity scoring of NAFLD.,Fan L; Lei Y; Song F; Sun X; Zhang Z,2025,BMC medical imaging,10.1186/s12880-025-01805-y,"Non-alcoholic fatty liver disease (NAFLD) is a significant risk factor for liver cancer and cardiovascular diseases, imposing substantial social and economic burdens. Computed tomography (CT) scans are crucial for diagnosing NAFLD and assessing its severity. However, current manual measurement techn..."
R0105,PubMed,2026-01-20,AI-enhanced patient-specific dosimetry in I-131 planar imaging with a single oblique view.,Jalilifar M; Sadeghi M; Emami-Ardekani A; Bitarafan-Rajabi A; Geravand K et al.,2025,Scientific reports,10.1038/s41598-025-09212-7,This study aims to enhance the dosimetry accuracy in <sup>131</sup>I planar imaging by utilizing a single oblique view and Monte Carlo (MC) validated dose point kernels (DPKs) alongside the integration of artificial intelligence (AI) for accurate dose prediction within planar imaging. Forty patients...
R0106,PubMed,2026-01-20,"Deep learning-based organ-at-risk segmentation, registration and dosimetry on cone beam computed tomography images in radiation therapy: A comprehensive review.",Fakhar E; Janat Esfahani A; Saeedzadeh E; Banaee N,2025,Journal of cancer research and therapeutics,10.4103/jcrt.jcrt_2006_24,"Cone-beam computed tomography (CBCT) is pivotal in image-guided radiotherapy (IGRT), yet it faces challenges in accurate organ-at-risk (OAR) segmentation, image registration, and dosimetry. Deep learning, particularly Generative Adversarial Networks (GAN) and Deep Convolutional Neural Networks (DCNN..."
R0107,PubMed,2026-01-20,Prior knowledge of anatomical relationships supports automatic delineation of clinical target volume for cervical cancer.,Shi J; Mao X; Yang Y; Lu S; Zhang W et al.,2025,Scientific reports,10.1038/s41598-025-08586-y,"Deep learning has been used for automatic planning of radiotherapy targets, such as inferring the clinical target volume (CTV) for a given new patient. However, previous deep learning methods mainly focus on predicting CTV from CT images without considering the rich prior knowledge. This limits the ..."
R0108,PubMed,2026-01-20,DynTransNet: Dynamic Transformer Network with multi-scale attention for liver cancer segmentation.,Zheng S; Sagar ASMS; Chen Y; Yu Z; Ying S et al.,2025,Frontiers in oncology,10.3389/fonc.2025.1569083,"Hepatocellular carcinoma (HCC), a predominant subtype of liver cancer, remains Q7 a major contributor to global cancer mortality. Accurate delineation of liver tumors in CT and MRI scans is critical for treatment planning and clinical decision-making. However, manual segmentation is time-consuming, ..."
R0109,PubMed,2026-01-20,Ensemble methods and partially-supervised learning for accurate and robust automatic murine organ segmentation.,Daenen LHBA; de Bruijn J; Staut N; Verhaegen F,2025,Scientific reports,10.1038/s41598-025-05954-6,"Delineation of multiple organs in murine µCT images is crucial for preclinical studies but requires manual volumetric segmentation, a tedious and time-consuming process prone to inter-observer variability. Automatic deep learning-based segmentation can improve speed and reproducibility. While 2D and..."
R0110,PubMed,2026-01-20,MCAUnet: a deep learning framework for automated quantification of body composition in liver cirrhosis patients.,Wang J; Xia S; Zhang J; Wang X; Zhao C et al.,2025,BMC medical imaging,10.1186/s12880-025-01756-4,"Traditional methods for measuring body composition in CT scans rely on labor-intensive manual delineation, which is time-consuming and imprecise. This study proposes a deep learning-driven framework, MCAUnet, for accurate and automated quantification of body composition and comprehensive survival an..."
R0111,PubMed,2026-01-20,In-silico CT simulations of deep learning generated heterogeneous phantoms.,Salinas CS; Magudia K; Sangal A; Ren L; Segars WP,2025,Biomedical physics & engineering express,10.1088/2057-1976/ade9c9,"Current virtual imaging phantoms primarily emphasize geometric accuracy of anatomical structures. However, to enhance realism, it is also important to incorporate intra-organ detail. Because biological tissues are heterogeneous in composition, virtual phantoms should reflect this by including realis..."
R0112,PubMed,2026-01-20,Enhanced abdominal multi-organ segmentation with 3D UNet and UNet +  + deep neural networks utilizing the MONAI framework.,Tejashwini PS; Thriveni J; Venugopal KR,2025,Abdominal radiology (New York),10.1007/s00261-025-05041-4,"Accurate segmentation of organs in the abdomen is a primary requirement for any medical analysis and treatment planning. In this study, we propose an approach based on 3D UNet and UNet +  + architectures implemented in the MONAI framework for addressing challenges that arise due to anatomical variab..."
R0113,PubMed,2026-01-20,D<sup>2</sup>-RD-UNet: A dual-stage dual-class framework with connectivity correction for hepatic vessels segmentation.,Cavicchioli M; Moglia A; Garret G; Puglia M; Vacavant A et al.,2025,Computers in biology and medicine,10.1016/j.compbiomed.2025.110530,"Accurate segmentation of hepatic and portal veins is critical for preoperative planning in liver surgery, especially for resection and transplantation procedures. Extensive anatomical variability, pathological alterations, and inherent class imbalance between background and vascular structures chall..."
R0114,PubMed,2026-01-20,Streamlining the annotation process by radiologists of volumetric medical images with few-shot learning.,Ryabtsev A; Lederman R; Sosna J; Joskowicz L,2025,International journal of computer assisted radiology and surgery,10.1007/s11548-025-03457-3,"Radiologist's manual annotations limit robust deep learning in volumetric medical imaging. While supervised methods excel with large annotated datasets, few-shot learning performs well for large structures but struggles with small ones, such as lesions. This paper describes a novel method that lever..."
R0115,PubMed,2026-01-20,"Mechanically assisted non-invasive ventilation for liver SABR: Improve CBCT, treat more accurately.",Pierrard J; Audag N; Massih CA; Garcia MA; Moreno EA et al.,2025,Clinical and translational radiation oncology,10.1016/j.ctro.2025.100983,"Cone-beam computed tomography (CBCT) for image-guided radiotherapy (IGRT) during liver stereotactic ablative radiotherapy (SABR) is degraded by respiratory motion artefacts, potentially jeopardising treatment accuracy. Mechanically assisted non-invasive ventilation-induced breath-hold (MANIV-BH) can..."
R0116,PubMed,2026-01-20,Qualitative evaluation of automatic liver segmentation in computed tomography images for clinical use in radiation therapy.,Khalal DM; Slimani S; Bouraoui ZE; Azizi H,2025,Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique,10.1016/j.canrad.2025.104648,Segmentation of target volumes and organs at risk on computed tomography (CT) images constitutes an important step in the radiotherapy workflow. Artificial intelligence-based methods have significantly improved organ segmentation in medical images. Automatic segmentations are frequently evaluated us...
R0117,PubMed,2026-01-20,Radiomics and deep learning characterisation of liver malignancies in CT images - A systematic review.,Yahaya BS; Osman ND; Karim NKA; Appalanaido GK; Isa IS,2025,Computers in biology and medicine,10.1016/j.compbiomed.2025.110491,"Computed tomography (CT) has been widely used as an effective tool for liver imaging due to its high spatial resolution, and ability to differentiate tissue densities, which contributing to comprehensive image analysis. Recent advancements in artificial intelligence (AI) promoted the role of Machine..."
R0118,PubMed,2026-01-20,Multi-Organ metabolic profiling with [<sup>18</sup>F]F-FDG PET/CT predicts pathological response to neoadjuvant immunochemotherapy in resectable NSCLC.,Ma Q; Yang J; Guo X; Mu W; Tang Y et al.,2025,European journal of nuclear medicine and molecular imaging,10.1007/s00259-025-07350-8,To develop and validate a novel nomogram combining multi-organ PET metabolic metrics for major pathological response (MPR) prediction in resectable non-small cell lung cancer (rNSCLC) patients receiving neoadjuvant immunochemotherapy. This retrospective cohort included rNSCLC patients who underwent ...
R0119,PubMed,2026-01-20,Multi-spatial-attention U-Net: a novel framework for automated gallbladder segmentation on CT images.,Lou H; Wen X; Lin F; Peng Z; Wang Q et al.,2025,BMC medical imaging,10.1186/s12880-025-01737-7,"This study aimed to construct a novel model, Multi-Spatial Attention U-Net (MSAU-Net) by incorporating our proposed Multi-Spatial Attention (MSA) block into the U-Net for the automated segmentation of the gallbladder on CT images. The gallbladder dataset consists of CT images of retrospectively-coll..."
R0120,PubMed,2026-01-20,Enhanced Pelvic CT Segmentation via Deep Learning: A Study on Loss Function Effects.,Ghaedi E; Asadi A; Hosseini SA; Arabi H,2025,Journal of imaging informatics in medicine,10.1007/s10278-025-01550-2,"Effective radiotherapy planning requires precise delineation of organs at risk (OARs), but the traditional manual method is laborious and subject to variability. This study explores using convolutional neural networks (CNNs) for automating OAR segmentation in pelvic CT images, focusing on the bladde..."
R0121,PubMed,2026-01-20,Radiomics Analysis of Whole-Kidney Non-Contrast CT for Early Identification of Chronic Kidney Disease Stages 1-3.,Zhang G; Zhang P; Xia Y; Shi F; Zhang Y et al.,2025,"Bioengineering (Basel, Switzerland)",10.3390/bioengineering12050454,"The early stages of chronic kidney disease (CKD) are often undetectable on traditional non-contrast computed tomography (NCCT) images through visual assessment by radiologists. This study aims to evaluate the potential of radiomics-based quantitative features extracted from NCCT, combined with machi..."
R0122,PubMed,2026-01-20,ToPoMesh: accurate 3D surface reconstruction from CT volumetric data via topology modification.,Chen J; Zhu Q; Xie B; Li T,2025,Medical & biological engineering & computing,10.1007/s11517-025-03381-3,"Traditional computed tomography (CT) methods for 3D reconstruction face resolution limitations and require time-consuming post-processing workflows. While deep learning techniques improve the accuracy of segmentation, traditional voxel-based segmentation and surface reconstruction pipelines tend to ..."
